sample_id,customer_message,intent
GOLDEN-172,Made a playlist public but it's not showing up in search results.,Playlist & Library Issues
GOLDEN-173,Saved albums are missing from my Library view.,Playlist & Library Issues
GOLDEN-174,How do I transfer playlists from an old Spotify account to a new one?,Playlist & Library Issues
GOLDEN-175,Playlist cover image upload fails with error file size too large.,Playlist & Library Issues
GOLDEN-176,When is Spotify HiFi Lossless audio streaming releasing globally?,General Query & Feature Request
GOLDEN-177,Can I hide or remove podcast recommendations from my home tab?,General Query & Feature Request
GOLDEN-178,When does Spotify Wrapped 2026 release for users?,General Query & Feature Request
GOLDEN-179,How do I view live synchronized song lyrics on desktop app?,General Query & Feature Request
GOLDEN-180,Please add a light mode theme option to Spotify mobile app!,General Query & Feature Request
GOLDEN-181,Does Spotify have a DJ AI mode available in Australia?,General Query & Feature Request
GOLDEN-182,How do I clear my recently played artists search history?,General Query & Feature Request
GOLDEN-183,Feature request: Add real-time friend activity feed to mobile app.,General Query & Feature Request
GOLDEN-184,Is Spotify Premium supported on HomePod mini smart speakers?,General Query & Feature Request
GOLDEN-185,How to turn off Canvas video loops playing behind songs?,General Query & Feature Request
GOLDEN-186,Can I change my public Spotify display profile name?,General Query & Feature Request
GOLDEN-187,Request: Allow sorting playlists by song BPM or key signature.,General Query & Feature Request
GOLDEN-188,Does Spotify support Dolby Atmos spatial audio streaming?,General Query & Feature Request
GOLDEN-189,How do I check total listening hours on my Spotify profile?,General Query & Feature Request
GOLDEN-190,When will Spotify Audiobooks feature be launched in Europe?,General Query & Feature Request
GOLDEN-191,Can I sleep timer set for 45 minutes on iOS player screen?,General Query & Feature Request
GOLDEN-192,Feature idea: Allow pin-protecting private playlists with passcode.,General Query & Feature Request
GOLDEN-193,How do I turn on explicit content filter for kids account?,General Query & Feature Request
GOLDEN-194,Is there a native Spotify app available for Linux distributions?,General Query & Feature Request
GOLDEN-195,How to exclude a specific playlist from my taste profile recommendations?,General Query & Feature Request
GOLDEN-196,Can I block an artist so their tracks never play in my mixes?,General Query & Feature Request
GOLDEN-197,How to share Spotify song snippet directly to WhatsApp status?,General Query & Feature Request
GOLDEN-198,Request: Bring back full lyrics full-screen mode on iPad.,General Query & Feature Request
GOLDEN-199,Does Spotify offer student pricing for master degree students?,General Query & Feature Request
GOLDEN-200,How do I change app icon aesthetic on iPhone home screen?,General Query & Feature Request
