pair_id,intent_category,raw_customer_message,raw_support_reply,customer_message,support_reply
SPOT-0015,Billing & Refund Request,@SpotifyCares Changed my payment card details but the payment keeps failing with payment error.,Hi! Make sure your card is enabled for international online recurring transactions. DM us if you need further help! ^BP,Changed my payment card details but the payment keeps failing with payment error.,Hi! Make sure your card is enabled for international online recurring transactions. DM us if you need further help! ^BP
SPOT-0016,Playback & Audio Bugs,@SpotifyCares Songs keep pausing automatically every 10 seconds on Android when screen locks.,Hey! Check your battery saver settings for Spotify and set background battery usage to Unrestricted. Let us know if that fixes it! ^CA,Songs keep pausing automatically every 10 seconds on Android when screen locks.,Hey! Check your battery saver settings for Spotify and set background battery usage to Unrestricted. Let us know if that fixes it! ^CA
SPOT-0017,Playback & Audio Bugs,@SpotifyCares Audio quality sounds crackly and muffled on my Bluetooth headphones on desktop.,Hi! Try toggling Very High audio quality in Settings and turn off Hardware Acceleration under Advanced Settings. ^NK,Audio quality sounds crackly and muffled on my Bluetooth headphones on desktop.,Hi! Try toggling Very High audio quality in Settings and turn off Hardware Acceleration under Advanced Settings. ^NK
SPOT-0018,Playback & Audio Bugs,@SpotifyCares Offline downloaded songs won't play when I turn off Wi-Fi/Cellular data.,Hey! Make sure Offline Mode is toggled on in Spotify app settings. Also verify your device connected online within the last 30 days. ^JM,Offline downloaded songs won't play when I turn off Wi-Fi/Cellular data.,Hey! Make sure Offline Mode is toggled on in Spotify app settings. Also verify your device connected online within the last 30 days. ^JM
SPOT-0019,Playback & Audio Bugs,@SpotifyCares Crossfade between tracks isn't working on my iOS app after latest update.,Hi! Try toggling Crossfade off and on again under Settings > Playback. Restarting your device can also help. ^BP,Crossfade between tracks isn't working on my iOS app after latest update.,Hi! Try toggling Crossfade off and on again under Settings > Playback. Restarting your device can also help. ^BP
SPOT-0020,Playback & Audio Bugs,@SpotifyCares Volume drops dramatically whenever a new song starts playing.,Hey! Check if Enable Audio Normalization is switched on in your Playback settings. Send us a DM if the issue continues! ^CA,Volume drops dramatically whenever a new song starts playing.,Hey! Check if Enable Audio Normalization is switched on in your Playback settings. Send us a DM if the issue continues! ^CA
SPOT-0021,App Crash & Performance,@SpotifyCares The Spotify desktop app crashes every time I open my Saved Songs library.,Hi! This could be caused by corrupted cache. Try performing a clean reinstall of the desktop app. DM us if it keeps crashing! ^NK,The Spotify desktop app crashes every time I open my Saved Songs library.,Hi! This could be caused by corrupted cache. Try performing a clean reinstall of the desktop app. DM us if it keeps crashing! ^NK
SPOT-0022,App Crash & Performance,@SpotifyCares App is super slow and freezing on my iPad Air. Takes 30 seconds to load any page.,Hey! Go to Settings > Storage > Clear Cache. This won't delete your downloaded songs! Let us know if it speeds things up. ^JM,App is super slow and freezing on my iPad Air. Takes 30 seconds to load any page.,Hey! Go to Settings > Storage > Clear Cache. This won't delete your downloaded songs! Let us know if it speeds things up. ^JM
SPOT-0023,App Crash & Performance,@SpotifyCares Spotify crashes immediately on startup after updating to iOS 18.,Hi! Make sure you have the latest Spotify update installed from the App Store. A quick phone restart can also clear temporary glitches. ^BP,Spotify crashes immediately on startup after updating to iOS 18.,Hi! Make sure you have the latest Spotify update installed from the App Store. A quick phone restart can also clear temporary glitches. ^BP
SPOT-0024,App Crash & Performance,"@SpotifyCares High battery drain on Android after the latest app update, phone gets super hot.",Hey! Send us a DM with your Spotify app version and device model details so our tech team can take a look! ^CA,"High battery drain on Android after the latest app update, phone gets super hot.",Hey! Send us a DM with your Spotify app version and device model details so our tech team can take a look! ^CA
SPOT-0025,App Crash & Performance,@SpotifyCares Spotify Connect is not finding my Smart TV or Chromecast speakers.,Hi there! Ensure both your mobile phone and Smart TV are connected to the exact same Wi-Fi network. ^NK,Spotify Connect is not finding my Smart TV or Chromecast speakers.,Hi there! Ensure both your mobile phone and Smart TV are connected to the exact same Wi-Fi network. ^NK
SPOT-0026,Account Compromise & Security,@SpotifyCares Someone hacked my account! The email was changed without my permission and my playlists were wiped!,Hi! We're here to help recover your account right away. Please send us a direct message immediately with any original payment receipt or former email. ^JM,Someone hacked my account! The email was changed without my permission and my playlists were wiped!,Hi! We're here to help recover your account right away. Please send us a direct message immediately with any original payment receipt or former email. ^JM
SPOT-0027,Account Compromise & Security,@SpotifyCares I see strange songs playing on my account from a device called Living Room PC that I don't own!,"Hey! Go to your account page at spotify.com/account and click Sign out everywhere, then change your password right away. DM us if you need help! ^BP",I see strange songs playing on my account from a device called Living Room PC that I don't own!,"Hey! Go to your account page at spotify.com/account and click Sign out everywhere, then change your password right away. DM us if you need help! ^BP"
SPOT-0028,Account Compromise & Security,@SpotifyCares Got an email saying my email address was updated on Spotify but I didn't do it!,Hi! That sounds suspicious. Send us a DM immediately with your account username so our security team can lock and restore your account. ^CA,Got an email saying my email address was updated on Spotify but I didn't do it!,Hi! That sounds suspicious. Send us a DM immediately with your account username so our security team can lock and restore your account. ^CA
SPOT-0029,Account Compromise & Security,@SpotifyCares Someone added random explicit songs to my private playlists. Is my account compromised?,Hey! We suggest resetting your password and revoking access to 3rd-party apps at spotify.com/account/apps. Send us a DM if you need further security checks! ^NK,Someone added random explicit songs to my private playlists. Is my account compromised?,Hey! We suggest resetting your password and revoking access to 3rd-party apps at spotify.com/account/apps. Send us a DM if you need further security checks! ^NK
SPOT-0030,Playlist & Library Issues,@SpotifyCares All my saved playlists disappeared after updating the app!,Hi! Make sure you are logged into the exact same account. DM us your username if they're still missing! ^JM,All my saved playlists disappeared after updating the app!,Hi! Make sure you are logged into the exact same account. DM us your username if they're still missing! ^JM
SPOT-0031,Playlist & Library Issues,@SpotifyCares How do I sync local MP3 files from my computer to my iPhone Spotify app?,"Hey! Turn on Local Files in app settings on both devices, put both on the same Wi-Fi network, and add the songs to a playlist! ^BP",How do I sync local MP3 files from my computer to my iPhone Spotify app?,"Hey! Turn on Local Files in app settings on both devices, put both on the same Wi-Fi network, and add the songs to a playlist! ^BP"
SPOT-0032,Playlist & Library Issues,@SpotifyCares Is there a limit to how many songs I can add to my Liked Songs library?,"Hi! Great news! There is no longer a 10,000 song limit for Liked Songs. You can save as many tracks as you want! ^CA",Is there a limit to how many songs I can add to my Liked Songs library?,"Hi! Great news! There is no longer a 10,000 song limit for Liked Songs. You can save as many tracks as you want! ^CA"
SPOT-0033,Playlist & Library Issues,@SpotifyCares Accidentally deleted my favorite playlist! Can I recover it?,Hey! Yes! Log in to spotify.com/account and go to Recover Playlists on the left menu. You'll find your deleted playlist there! ^NK,Accidentally deleted my favorite playlist! Can I recover it?,Hey! Yes! Log in to spotify.com/account and go to Recover Playlists on the left menu. You'll find your deleted playlist there! ^NK
SPOT-0034,General Query & Feature Request,@SpotifyCares When is Spotify HiFi / Lossless audio quality releasing in India?,"Hi there! We don't have an exact release date to share right now, but stay tuned to our newsroom for official announcements! ^JM",When is Spotify HiFi / Lossless audio quality releasing in India?,"Hi there! We don't have an exact release date to share right now, but stay tuned to our newsroom for official announcements! ^JM"
SPOT-0035,General Query & Feature Request,@SpotifyCares Can I disable podcast recommendations from showing up on my home feed?,"Hey! We appreciate the feedback! Currently podcast recommendations are part of the home feed, but we'll share your suggestion with our team. ^BP",Can I disable podcast recommendations from showing up on my home feed?,"Hey! We appreciate the feedback! Currently podcast recommendations are part of the home feed, but we'll share your suggestion with our team. ^BP"
SPOT-0036,General Query & Feature Request,@SpotifyCares Is Spotify Wrapped 2026 available yet?,Hi! Spotify Wrapped usually drops towards the end of the year in late November or early December. Stay tuned! ^CA,Is Spotify Wrapped 2026 available yet?,Hi! Spotify Wrapped usually drops towards the end of the year in late November or early December. Stay tuned! ^CA
SPOT-0037,General Query & Feature Request,@SpotifyCares How do I turn on real-time synchronized lyrics on Spotify desktop app?,Hey! Click the small microphone icon in the bottom right playback bar while a song is playing to view live lyrics! ^NK,How do I turn on real-time synchronized lyrics on Spotify desktop app?,Hey! Click the small microphone icon in the bottom right playback bar while a song is playing to view live lyrics! ^NK
SPOT-0038,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist Workout Mix on Windows 11.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist Workout Mix on Windows 11.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0039,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0040,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0041,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after 30 seconds on Web Player.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after 30 seconds on Web Player.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0042,Billing & Refund Request,@SpotifyCares Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0043,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after 30 seconds on iPad Air.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after 30 seconds on iPad Air.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0044,Login & Auth Issue,"@SpotifyCares Can't sign in on iPad Air, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on iPad Air, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
SPOT-0045,Subscription & Premium,@SpotifyCares Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM,Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM
SPOT-0046,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist Chill Vibes on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist Chill Vibes on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0047,Subscription & Premium,@SpotifyCares Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM,Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM
SPOT-0048,Account Compromise & Security,@SpotifyCares Got account alert that password was modified on Windows 11 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM,Got account alert that password was modified on Windows 11 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM
SPOT-0049,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist My Top 2026 Hits on Web Player.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist My Top 2026 Hits on Web Player.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0050,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Artist Page on Android 14.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Artist Page on Android 14.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0051,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist My Top 2026 Hits on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist My Top 2026 Hits on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0052,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Liked Songs on iPhone 15.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Liked Songs on iPhone 15.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0053,Subscription & Premium,@SpotifyCares Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM,Want to switch my plan from Free to Individual Premium. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM
SPOT-0054,Billing & Refund Request,@SpotifyCares Charged $10.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $10.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0055,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist Roadtrip Songs on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist Roadtrip Songs on MacBook Pro.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0056,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0057,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Artist Page on iPad Air.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Artist Page on iPad Air.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0058,Billing & Refund Request,@SpotifyCares Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0059,Account Compromise & Security,@SpotifyCares Got account alert that password was modified on Windows 11 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM,Got account alert that password was modified on Windows 11 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM
SPOT-0060,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after every song transition on Android 14.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after every song transition on Android 14.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0061,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Liked Songs on Android 14.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Liked Songs on Android 14.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0062,Login & Auth Issue,"@SpotifyCares Can't sign in on MacBook Pro, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on MacBook Pro, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
SPOT-0063,Login & Auth Issue,"@SpotifyCares Can't sign in on Windows 11, error says Error 404.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on Windows 11, error says Error 404.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
SPOT-0064,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist My Top 2026 Hits on iPhone 15.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist My Top 2026 Hits on iPhone 15.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0065,Login & Auth Issue,"@SpotifyCares Can't sign in on iPhone 15, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on iPhone 15, error says Authentication Failed.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
SPOT-0066,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0067,Playlist & Library Issues,@SpotifyCares Cannot edit or reorder tracks in my playlist Roadtrip Songs on Windows 11.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP,Cannot edit or reorder tracks in my playlist Roadtrip Songs on Windows 11.,Hey! Make sure playlist isn't set to read-only or collaborative mode without edit permissions. ^BP
SPOT-0068,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after 30 seconds on iPhone 15.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after 30 seconds on iPhone 15.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0069,Account Compromise & Security,@SpotifyCares Got account alert that password was modified on Web Player without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM,Got account alert that password was modified on Web Player without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM
SPOT-0070,Billing & Refund Request,@SpotifyCares Charged $10.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $10.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0071,Billing & Refund Request,@SpotifyCares Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0072,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0073,Subscription & Premium,@SpotifyCares Want to switch my plan from Individual to Family. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM,Want to switch my plan from Individual to Family. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM
SPOT-0074,Billing & Refund Request,@SpotifyCares Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $19.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0075,Login & Auth Issue,"@SpotifyCares Can't sign in on Windows 11, error says Session Expired.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on Windows 11, error says Session Expired.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
SPOT-0076,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Artist Page on iPhone 15.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Artist Page on iPhone 15.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0077,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after 30 seconds on Android 14.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after 30 seconds on Android 14.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0078,General Query & Feature Request,@SpotifyCares Is Canvas Animations available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA,Is Canvas Animations available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA
SPOT-0079,Billing & Refund Request,@SpotifyCares Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP,Charged $16.99 on my card for Spotify but I don't have an active subscription.,Hi! DM us the charge details and transaction date so we can track down the account responsible. ^BP
SPOT-0080,Account Compromise & Security,@SpotifyCares Got account alert that password was modified on Android 14 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM,Got account alert that password was modified on Android 14 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM
SPOT-0081,General Query & Feature Request,@SpotifyCares Is DJ AI Feature available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA,Is DJ AI Feature available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA
SPOT-0082,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after 1 minute on Apple Watch.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after 1 minute on Apple Watch.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0083,App Crash & Performance,@SpotifyCares Spotify app keeps crashing when loading Search Screen on Web Player.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK,Spotify app keeps crashing when loading Search Screen on Web Player.,Hi! Perform a clean reinstall of the app to clear corrupted cache. ^NK
SPOT-0084,Playback & Audio Bugs,@SpotifyCares Songs stop playing randomly after every song transition on iPad Air.,Hey! Check background battery optimization settings for Spotify on your device. ^CA,Songs stop playing randomly after every song transition on iPad Air.,Hey! Check background battery optimization settings for Spotify on your device. ^CA
SPOT-0085,General Query & Feature Request,@SpotifyCares Is DJ AI Feature available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA,Is DJ AI Feature available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA
SPOT-0086,Account Compromise & Security,@SpotifyCares Got account alert that password was modified on iPhone 15 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM,Got account alert that password was modified on iPhone 15 without my consent.,Hi! Send us a direct message immediately so our security team can secure your account. ^JM
SPOT-0087,General Query & Feature Request,@SpotifyCares Is Canvas Animations available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA,Is Canvas Animations available in my region yet?,Hi! Keep an eye on our official newsroom updates for feature availability in your region! ^CA
SPOT-0088,Subscription & Premium,@SpotifyCares Want to switch my plan from Individual to Family. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM,Want to switch my plan from Individual to Family. How does billing work?,Hey! You can change your plan under account overview. Any unused time will be prorated! ^JM
SPOT-0089,Login & Auth Issue,"@SpotifyCares Can't sign in on Windows 11, error says Network Timeout.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK,"Can't sign in on Windows 11, error says Network Timeout.",Hi! Try clearing app cache and restarting your device. Send us a DM if issue persists! ^NK
